Marque;Série;Modèle;Type de réparation;Qualité;Prix Standard (€)
Xiaomi;Mi;13;Connecteur;Compatible;40
Xiaomi;Mi;13;Connecteur;Origine;60
Xiaomi;Mi;13 Lite;Connecteur;Compatible;40
Xiaomi;Mi;13 Lite;Connecteur;Origine;60
Xiaomi;Mi;13 Pro;Connecteur;Compatible;40
Xiaomi;Mi;13 Pro;Connecteur;Origine;60
Xiaomi;Mi;13 Ultra;Connecteur;Compatible;40
Xiaomi;Mi;13 Ultra;Connecteur;Origine;60
Xiaomi;Mi;13T;Connecteur;Compatible;40
Xiaomi;Mi;13T;Connecteur;Origine;60
Xiaomi;Mi;13T Pro;Connecteur;Compatible;40
Xiaomi;Mi;13T Pro;Connecteur;Origine;60
Redmi;Note;Redmi Note 9 (S) (T);Connecteur;Compatible;40
Redmi;Note;Redmi Note 9 (S) (T);Connecteur;Origine;60
Redmi;Note;Redmi Note 9 Pro (5G);Connecteur;Compatible;40
Redmi;Note;Redmi Note 9 Pro (5G);Connecteur;Origine;60
Redmi;Note;Redmi Note 10 (S) (5G);Connecteur;Compatible;40
Redmi;Note;Redmi Note 10 (S) (5G);Connecteur;Origine;60
Redmi;Note;Redmi Note 10 Pro;Connecteur;Compatible;40
Redmi;Note;Redmi Note 10 Pro;Connecteur;Origine;60
Redmi;Note;Redmi Note 11 (S) (5G);Connecteur;Compatible;40
Redmi;Note;Redmi Note 11 (S) (5G);Connecteur;Origine;60
Redmi;Note;Redmi Note 11 Pro (5G);Connecteur;Compatible;40
Redmi;Note;Redmi Note 11 Pro (5G);Connecteur;Origine;60
Redmi;Note;Redmi Note 11 Pro+ 5G;Connecteur;Compatible;40
Redmi;Note;Redmi Note 11 Pro+ 5G;Connecteur;Origine;60
Redmi;Note;Redmi Note 12 (S) (5G);Connecteur;Compatible;40
Redmi;Note;Redmi Note 12 (S) (5G);Connecteur;Origine;60
Redmi;Note;Redmi Note 12 Pro (5G);Connecteur;Compatible;40
Redmi;Note;Redmi Note 12 Pro (5G);Connecteur;Origine;60
Redmi;Note;Redmi Note 12 Pro+ 5G;Connecteur;Compatible;40
Redmi;Note;Redmi Note 12 Pro+ 5G;Connecteur;Origine;60
Redmi;Note;Redmi Note 13 4G;Connecteur;Compatible;40
Redmi;Note;Redmi Note 13 4G;Connecteur;Origine;60
Redmi;Note;Redmi Note 13 5G;Connecteur;Compatible;40
Redmi;Note;Redmi Note 13 5G;Connecteur;Origine;60
Redmi;Note;Redmi Note 13 Pro (5G);Connecteur;Compatible;40
Redmi;Note;Redmi Note 13 Pro (5G);Connecteur;Origine;60
Redmi;Note;Redmi Note 13 Pro+ 5G;Connecteur;Compatible;40
Redmi;Note;Redmi Note 13 Pro+ 5G;Connecteur;Origine;60
